,pipeline_name,institute
pipeline_imb,IMB Trio',institute_imb'
pipeline_kccg,Garvan',institute_kccg'
pipeline_vcgs,Cpipe',institute_vcgs'
pipeline_mb_cpipe,Cpipe',institute_mb'
pipeline_pm,Seqliner',institute_pm'
pipeline_mb_seq,Seqliner',institute_mb'
pipeline_atcg,ATCG pipeline',institute_atcg'
pipeline_sap,SAP pipeline',institute_sap'
pipeline_qimr,QIMR pipeline',institute_qimr'
pipeline_nci,NCI pipeline',institute_nci'
pipeline_pathwest,Pathwest pipeline',institute_pathwest'
pipeline_schn,Sydney Childrens Hospital Network pipeline',institute_schn'