,institute_name,institute_logo,institute_long,institute_lat
institute_imb,Institute for Molecular Bioscience',null',153.009784',-27.498094'
institute_kccg,Kinghorn Centre for Clinical Genomics',null',151.221706',-33.878596'
institute_vcgs,Victorian Clinical Genetic Services',null',144.949343',-37.793749'
institute_mb,Melbourne Bioinformatics',null',144.962710',-37.800365'
institute_pm,Peter MacCallum Cancer Centre',null',144.956371',-37.800277'
institute_atcg,Institute of Health and Biomedical Innovation',null',153.013758',-27.452918'
institute_sap,South Australia pathology',null',138.599898',-34.911586'
institute_qimr,QIMR Berghofer',null',153.027383',-27.449517'
institute_pathwest,Pathwest',null',115.866493',-31.954350'
institute_schn,Sydney Childrens Hospital Network',null',151.237574',-33.917409'
institute_nci,National Computational Infrastructure',null',149.114928',-35.282156'