,pipeline_authors,pipeline_name,nata_accredited,version_controlled_pipeline,research_or_diagnostic,pipeline_performance_checks,sample_type,sequencing_provider,somatic_or_germline,library_prep,target_site_definition,scale_of_samples_processed,workflow/pipeline_manager,workflow_Language,script_language,provenance_platform,patient_metadata_tracking,transparent_log_files,version,decoy,fastq_checks,automatic_pipeline_exit,pipeline_report_for_fastq_quality,alignment,align_parallelised,deduplication,indel_realignment,indel-KNOWN_SITES,base_recal,dbsnp_version,base_recal_sites_ref,padding_hard-coded_or_config_param,annotate_parallelised,vcf_version,mutations_called_jointly,limited_discovery_across_genome,joint_genotyping_or_singleton,joint_genotyping_min_sample_size,joint_calling_for_somatics,hard_or_VQSR,vqsr_minimum_sample_size,VQSR_training_sets,filters_different_for_mutation_type,location_of_databases,cache_version,flexibility_of_database_update_and_additions,annotations_parallelised,filters_on_impact_frequency,normalisation,multiple_transcripts,curation_guidelines,sex_checks,sample_mix-up_checks,sanger_or_orthogonal_testing,verification,manual_review_of_variants,format
qut,"""Jonathan Ellis""","""ATGC""","""Application""","""?""","""Flexible - Parameters - json file for clinical - set - interpret pass or fail""","""?""","""WES""","""In-house""","""Somatic""","""IDT exome spiking""","""Kit capture sites""","""3 / 6 tn low numbers - always - for frequency - control cohort""","""Broad Queue""","""Queue - scala""","""variety of languages - scala, python""","""Tracking database of sample history - in-house django app on top""","""De-identified process. Match on identifier at end.""","""Yes - output as a json file""","""hg19""","""Yes""","""Percent Q30 bases (CUTOFF FOR QUALITY RUN?). Number of reads in Non-template control sample( number and trend analysis). Demultiplex reads""","""No""","""?""","""bwa-mem""","""No""","""Yes""","""Yes""","""GATK resource kit""","""Yes""","""?""","""GATK resource kit + in-house database of germline cohort control""","""config param""","""No""","""?""","""No - discovery with different callers""","""?""","""Joint for indels?""","""Always 6 samples (matched-tn) + ~ 400 germline cohort""","""No - mutect1""","""VQSR""","""~ 400 germline control cohort samples included""","""?""","""No.""","""Local""","""vep v88""","""Complex to add new annotations.""","""Yes""",###############################################################################################################################################################################################################################################################,"""Yes""","""All transcripts considered""","""?""","""No""","""Yes - ibd metrics for similarity""","""?""","""Scheduled validation testing. HapMap samples and WashU in-silico tests.""","""?""","""HGSV format. NPACC guidelines. CivicDB classification."""
cpipe_lymphoma,"""Simon Sadedin""","""Cpipe""","""Yes""","""?""","""Flexible - Research and diagnostic""","""?""","""WES - Panel - differ only by target sites and quality filters""","""Outsourced""","""Germline""","""Various""","""Kit capture sites + GOI + padding. Option to mask genes by modifying bed file""","""Individuals sequenced across multiple lanes. Samples may be multiplexed within a lane.""","""Bpipe""","""DSL based on groovy""","""python scripts""","""Run-time information tracked by Bpipe.""","""De-identified process. Match on identifier at end.""","""Command log generated by Cpipe and Bpipe""","""hg19""","""No""","""fastqc generates report. XX and XX flags modified. others default flags.""","""No""","""Yes - generated as part of fastqc""","""bwa-mem""","""No""","""Yes - one round at the library level""","""Yes""","""GATK resource kit""","""Yes""","""?""","""GATK resource kit""","""config param""","""No""","""v4.1""","""Yes -as part of HC""","""Bed file containing capture sites""","""Singleton""","""Variable numbers per batch""","""NA""","""Hard filters applied to quality metrics. Filter field.""","""NA""","""NA""","""Difference configs on padding for indel and SNV""","""Local""","""vep v78""","""Complex to add new annotations. vcfAnno in development.""","""No""","""Filters on multiple transcripts.""","""Yes""","""All transcripts considered""","""?""","""Yes - based on coverage of X, Y and XX chromosomes from the bam output""","""Yes - sex checks""","""?""","""None.""","""Part of curation procedure.""","""Curation platform dependent."""
sap_panel,"""Karin Kassahn""","""None""","""Yes""","""?""","""Mostly diagnostic use""","""?""","""Panel""","""In-house""","""Germline""","""Trusight One Illumina Panel""","""Kit capture sites + padding""","""Minimum of 30 samples""","""In-house pipeline manager""",,"""XML and python scripts""","""?""","""?""","""Series of txt files output at different stages""","""hg19""","""Yes""","""fastqc generates report. default flags.""","""No""","""Yes - generated as part of fastqc""","""bwa-mem""","""No""","""Yes - one round at the library level""","""Yes""","""GATK resource kit""","""Yes""","""v138""","""GATK resource kit""","""config param""","""No""","""v4.1""","""Yes -as part of HC""","""Bed file containing capture sites""","""Joint-calling""","""Atleast 30 samples. Gold germline control samples to make up batch""","""NA""","""VQSR""",30,"""gatk resource bundle""","""Difference configs on padding for indel and SNV""","""Local""","""?""","""Annotation resources managed by VariantStudio and/or in-house annotation scripts""","""No""","""?""","""No""","""Decision of curator. Option to annotate canonical transcript""","""Version controlled curation document""","""Yes - on vcf or bam""","""Yes - sex checks""","""Yes""","""In-house gold standard sets for reference values""","""IGV""","""Follow ACMG guidelines"""
sap_exome,"""Karin Kassahn""","""None""","""No""","""?""","""Mostly diagnostic use""","""?""","""WES""","""In-house""","""Germline""","""Nimblegen medical exome""","""Kit capture sites + padding""","""Minimum of 30 samples""","""In-house pipeline manager""",,"""?""","""?""","""?""","""Series of txt files output at different stages""","""hg19""","""Yes""","""fastqc generates report. default flags.""","""No""","""Yes - generated as part of fastqc""","""bwa-mem""","""No""","""Yes - one round at the library level""","""Yes""","""GATK resource kit""","""Yes""","""v138""","""GATK resource kit""","""config param""","""No""","""?""","""Yes -as part of HC""","""Bed file containing capture sites""","""?""","""?""","""NA""","""Hard filters""","""NA""","""NA""","""Difference configs on padding for indel and SNV""","""Local""","""?""","""Annotation resources managed by VariantStudio and/or in-house annotation scripts""","""No""","""?""","""No""","""All transcripts considered""","""Version controlled curation document""","""Yes - on vcf or bam""","""Yes - sex checks""","""Yes""","""In-house gold standard sets for reference values""","""?""","""?"""
seqliner_research,"""Jason Li, Richard Lupat, Ken Doig""","""Seqliner""","""Yes""","""?""","""Diagnostic""","""?""","""Panel""","""Decision of project""","""Somatic""","""Comprehensive Cancer Panel""","""Kit capture sites""","""?""","""Bpipe with in-house extensions for audit/file management""","""DSL based on groovy""","""wide variety of languages - perl, python, xml""","""Bpipe""","""?""","""Command log -""","""hg38""","""No""","""fastqc generates report. default flags.""","""No""","""Yes - generated as part of fastqc""","""bwa-mem""","""No""","""Yes - one round at the library level""","""Yes""","""GATK resource kit""","""Yes""","""?""","""GATK resource kit""","""config param""","""Yes - chromosomes""","""?""","""Mutect snvs, indelocator indels. Joint for HC.""","""Bed file containing capture sites""","""Singleton""","""NA""","""No""","""Hard filters on quality metrics""","""NA""","""NA""","""?""","""Local""","""?""","""Annotation resources managed by Pathos""","""Yes""","""?""","""Yes""","""Decision of PathOS""","""?""","""No""","""SNP array as a separate pipeline""","""?""","""?""","""PathOS""","""PathOS"""
seqliner_clinical,"""Jason Li, Richard Lupat, Ken Doig""","""Seqliner""","""No""","""?""","""Research""","""?""","""WES""","""Decision of project""","""Somatic""","""?""","""Kit capture sites""","""?""","""Bpipe with in-house extensions for audit/file management""","""DSL based on groovy""","""wide variety of languages - perl, python, xml""","""Bpipe""","""?""","""Command log""","""?""","""?""","""fastqc generates report. default flags. output used by cutadapt for overrrepresented sequences""","""No""","""Yes - generated as part of fastqc""","""bwa-mem""","""No""","""Yes - one round at library level""","""Yes""","""GATK resource kit + phase 1 1000G""","""Yes""","""?""","""GATK resource kit""","""config param""","""Yes - chromosomes""","""?""","""Yes -as part of HC""","""Bed file containing capture sites""","""Singleton""","""NA""","""Yes""","""Hard filters (defaults) mutect.""","""NA""","""NA""","""?""","""Local""","""?""","""Annotation resources managed by Pathos""","""Yes""","""?""","""Decision of PathOS""","""Decision of PathOS""","""?""","""No""","""SNP array as a separate pipeline""","""?""","""?""","""PathOS""","""PathOS"""
pathwest,"""Fastq to vcf generation - BaseSpace; Annotation - Cartagenia; In-house scripts -""","""None""","""Yes""","""?""","""Diagnostic""","""Control samples every run""","""Panel""","""In-house""","""Germline""","""TruSight - muscular, neurological. Each individual sequenced across 4 lanes.""",,,"""BaseSpace - manages to vcf file. VCF downloaded from Basespace and passed into annotation software manually.""","""Basespace""","""?""","""In-house SQL database tracks sample history.""","""?""","""Command log up to and including variant calling""","""hg19""","""No""","""QC stats generated via BaseSpace""","""No""","""fastq flags and automatic checks built into BaseSpace""","""bwa-mem""","""Yes""","""Yes - per sample""","""Yes - chromosomes""","""GATK resource kit + 1000G phase XX indels""","""Yes""","""v138""","""?""","""config param""","""Yes - over intervals but on entire bam""","""v4.1""","""Yes -as part of HC""","""Bed file with intervals""","""Singleton""","""NA""","""NA""","""Hard filters (defaults) as part of UnifiedGenotyper""","""NA""","""NA""","""Manual filters applied during curation.""","""?""","""?""","""Annotations resoureces managed by Cartagenia""","""?""","""Decisions of the curators""","""No""","""?""","""?""","""?""","""Yes""","""Sanger sequencing or MLPA""","""Control sets for each panel with expected range of values. 1 quality control sasmple per run. Starts at library prep.""","""Alamut visualise""","""Follow ACMG guidelines. HGSV format."""
garvan_somatic,"""Mark Cowley""","""None""","""?""","""Yes""","""Research and diagnostic""","""?""","""WGS""","""In-house""","""Somatic""","""?""","""WGS""","""?""","""dnanexus run on AWS""","""dnanexus""","""?""","""Managed by dnanexus""","""Matched on SampleID from LIMS""","""As part of dna-nexus""","""various""","""various""","""Illumina HiSeq Analysis Software, FastQC""","""No""","""?""","""bwa-mem""","""Yes""","""Yes""","""No""","""NA""","""No""","""?""","""NA""","""?""","""?""","""?""","""Yes -as part of HC""","""?""","""?""","""?""","""?""","""VQSR""","""?""","""gatk resource bundle""","""?""","""?""","""vep v79""","""Annotation resources managed by Gemini/Seave. Gemini annotations regularly updated.""","""?""","""?""","""Decision of Gemini""","""?""","""?""","""KING""","""?""","""?""","""?""","""Seave""","""?"""
garvan_germline,"""Mark Cowley""","""None""","""Yes""","""?""","""Research and diagnostic""","""?""","""WGS""","""In-house""","""Germline""","""?""","""?""","""?""","""dnanexus run on AWS""","""dnanexus""","""?""","""Managed by dnanexus""","""?""","""As part of dna-nexus""","""b37d5 - 1000 Genomes build""","""decoy""","""?""","""No""","""?""","""bwa-mem""","""Yes""","""Yes""","""?""","""?""","""No""","""?""","""NA""","""?""","""?""","""?""","""Yes -as part of HC""","""?""","""?""","""Joint calling for trio only.""","""NA""","""VQSR""","""trio""","""gatk resource bundle""","""?""","""?""","""?""","""Annotation resources managed by Gemini/Seave. Gemini annotations regularly updated.""","""?""","""?""","""Decision of Gemini""","""?""","""?""","""KING""","""?""","""?""","""?""","""Seave""","""?"""
imb,"""Cas Simons""","""None""","""No""","""?""","""Research""","""?""","""WES""","""In-house""","""Germline""","""Nextera""","""Kit capture sites""","""Low - research pipeline. Samples analysed where other panels have failed to detect variants.""","""Python-based manager.""","""Python""","""?""","""python-based web portal which manages all data, metadata and pipeline execution""","""?""","""Generated and traced via workflow manager.""","""various""","""various""","""FastQC, cutadapt""","""No""","""Yes - as part of fastqc""","""bwa-mem""","""?""","""Yes""","""No""","""NA""","""Yes""","""?""","""?""","""padding - on exons +-150bp""","""Yes""","""?""","""RTG and GATK HC""","""NA""","""Joint for RTG; singleton for HC""","""Trio""","""NA""","""Hard filters (HC). Variant recalibration for RTG""","""trio""","""NA""","""?""","""?""","""?""","""?""","""?""","""Filters based on mendelian inheritance rules. Cross comparison of variants identified using RTG and HC. Novel variants filtered against interval variant database containing all variants seen to date. Filter on alleles frequencies""","""On the fly by eye""","""All transcripts considered""","""NA""","""Peddy""","""Yes - qsignature - run across samples - comparison across a panel of reference snps""","""Study dependent""","""?""","""Manual review in IGV""","""NA"""
nci,"""Aaron Chuah""","""None""","""No""","""?""","""Research and diagnostic""","""?""","""WES""","""?""","""Germline""","""?""","""exon-intervals""","""?""","""qsub HPC manager""","""tools and scripts linked via in-house XML workflow""","""perl, xml""","""?""","""?""","""Logs produced""","""hs37d5""","""decoy""","""No formal checks""","""No""","""Yes - as part of fastqc""","""bwa-mem""","""No""","""Yes - over library""","""Yes""","""phase1 1000G""","""Yes""","""?""","""?""","""?""","""Yes - over chromosomes""","""?""","""?""","""Yes""","""Singleton""","""NA""","""NA""","""VQSR""","""?""","""NA""","""vcf split for annotation purpose but no additional filters""","""Local""","""vep v88""","""VEP, dgv, clinvar""","""No""","""Filters on: maf, exac, clinvar,""","""No""","""All transcripts considered""","""?""","""No""","""No""","""?""","""?""","""?""","""?"""
qimr_wgs,"""John Pearson""","""None""","""In process""","""Yes""","""Research and diagnostic""","""Yes - reference samples run daily""","""WGS""","""Mostly outsourced.""","""Somatic""","""Project dependent""","""WGS""","""Each individual sequenced across multiple lanes.""","""Cromwell""","""wdl""","""?""","""grafli stores provenance and run info""","""?""","""Logs produced""","""hg19 - for historic reasons""","""No""","""qprofiler - produces bam and fastq reports""","""No""","""qprofiler report""","""bwa-mem""","""Yes""","""Yes - over library and read group""","""No""","""NA""","""No""","""?""","""NA""","""NA""","""?""","""v4.1""","""?""","""WGS""","""Singleton""","""NA""","""?""","""Hard filters""","""NA""","""NA""","""?""","""?""","""?""","""?""","""?""","""?""","""No""","""Canonical transcript""","""?""","""No""","""Yes - independent sample - qsignature & illumina panel to check for sample similarities""","""Study dependent""","""Reference samples run daily.""","""Checks as part of qprofiler""","""?"""
schn,"""?""","""None""","""Yes""","""?""","""Diagnostic""","""?""","""Panel""","""Yes (next-gen). Sanger outsourced.""","""Germline""","""Illumina TruSight hybrid capture""","""Genes of interest""","""?""","""No overarching workflow manager. Managed manually by bioinformatician overseeing batch. NextGene provides provenance for bioinformatic stages.""","""NA""","""NA""","""Provenance managed by NextGene""","""?""","""Nextgene logs""","""GRCH37""","""No""","""FastQC""","""No""","""Yes - part of FASTQC""","""Netxgene developed algorithm""","""No""","""Yes""","""No""","""NA""","""No""","""?""","""NA""","""No""","""No""","""?""","""?""","""Panel""","""Singleton""","""NA""","""NA""","""Hard filters - read depth, variant proportion""","""NA""","""NA""","""?""","""?""","""?""","""Possible to upload custom annotation lists.""","""No""","""Filter on MAF from exac - 1% for population frequencies. Minimum frequency 2000 alleles. Variant effect - non-synon, synonomous /intronic variant plus a predicted affect on splicing.""","""No""","""No transcripts preferred.""","""Curation document""","""Nextgene pipeline - count duplications on chromosome X.""","""No""","""Sanger testing of C4 and C5 variants""","""Each variant manually reviewed. C4 and C5 pathogenic variants verified with Sanger.""","""Alamut visualise""","""?"""